Date,Open,High,Low,Close,Volume
11/01/2022,"29.40","29.69","27.62","28.39","5,147,499"
10/31/2022,"31.22","34.99","27.91","28.31","24,027,609"
10/28/2022,"26.88","28.79","26.42","28.17","8,089,647"
10/27/2022,"25.75","26.33","25.20","25.93","2,422,933"
10/26/2022,"26.37","27.48","25.32","25.42","3,866,779"
10/25/2022,"24.82","27.79","24.80","26.87","7,791,571"
10/24/2022,"25.00","25.19","24.11","24.71","3,114,308"
10/21/2022,"24.15","25.33","24.10","25.30","3,036,299"
10/20/2022,"24.65","25.45","24.07","24.41","5,148,627"
10/19/2022,"26.00","26.18","24.27","24.54","5,318,442"
10/18/2022,"27.10","27.74","26.13","26.67","4,402,577"
10/17/2022,"25.37","26.41","25.24","25.96","3,172,241"
10/14/2022,"25.77","26.37","24.63","24.63","2,778,436"
10/13/2022,"24.42","26.59","23.91","25.56","3,516,164"
10/12/2022,"25.96","26.89","25.27","25.36","3,284,353"
10/11/2022,"24.87","26.30","23.95","25.27","4,195,897"
10/10/2022,"25.37","26.50","24.75","25.00","2,917,594"
10/07/2022,"25.84","25.84","24.42","25.35","3,270,565"
10/06/2022,"26.29","27.00","25.80","25.99","2,418,721"
10/05/2022,"26.77","26.98","25.43","26.39","2,986,448"
10/04/2022,"25.95","27.83","25.95","27.60","4,581,855"
10/03/2022,"25.14","25.63","24.21","25.38","2,653,852"
