Date,Open,High,Low,Close,Volume
2020-03-16,3.93,4.57,3.9,4.37,"4,866,696"
2020-03-17,4.4,4.65,4.11,4.23,"3,562,210"
2020-03-18,4.1,4.25,3.5,3.77,"3,651,709"
2020-03-19,3.71,4.2,3.55,4.19,"5,039,539"
2020-03-20,4.08,4.08,3.65,3.76,"7,722,194"
2020-03-23,3.58,3.86,3.5,3.81,"6,009,784"
2020-03-24,3.95,4.21,3.89,4.16,"6,805,659"
2020-03-25,4.15,4.49,4.04,4.17,"3,592,059"
2020-03-26,4.24,4.71,4.24,4.41,"6,210,979"
2020-03-27,4.94,5.09,4.15,4.22,"7,024,763"
2020-03-30,4.22,4.27,3.65,3.65,"3,350,571"
2020-03-31,3.63,3.8,3.5,3.5,"2,304,132"
2020-04-01,3.45,3.49,3.12,3.25,"4,568,695"
2020-04-02,3.26,3.35,2.85,2.85,"4,064,339"
2020-04-03,2.85,2.94,2.57,2.8,"3,830,761"
2020-04-06,2.86,3.2,2.83,3.09,"3,331,070"
2020-04-07,3.39,3.44,3.1,3.27,"2,836,859"
2020-04-08,3.23,3.67,3.2,3.41,"2,884,528"
2020-04-09,3.6,4.25,3.49,3.89,"5,908,916"
2020-04-13,4.25,4.76,4.16,4.74,"6,844,501"
2020-04-14,5.21,6.47,5.14,5.95,"13,506,630"
2020-04-15,5.66,5.67,4.9,5.27,"7,499,854"
2020-04-16,5.12,5.44,4.88,5.03,"3,371,921"
2020-04-17,5.22,5.28,4.43,4.88,"5,653,188"
2020-04-20,4.85,5.9,4.78,5.61,"6,085,011"
2020-04-21,5.23,5.3,4.76,4.78,"4,142,050"
2020-04-22,5.14,5.17,4.83,4.89,"2,678,133"
2020-04-23,4.75,4.89,4.58,4.7,"2,265,853"
2020-04-24,4.78,4.85,4.66,4.77,"2,236,544"
2020-04-27,4.85,5.99,4.81,5.82,"7,275,138"
2020-04-28,5.92,6.04,5.06,5.64,"5,200,189"
2020-04-29,5.83,6.09,5.45,6.04,"3,370,045"
2020-04-30,5.87,5.98,5.64,5.73,"2,173,530"
2020-05-01,5.65,6.18,5.45,6.05,"4,005,598"
2020-05-04,5.84,5.93,5.4,5.48,"4,068,105"
2020-05-05,5.55,5.63,5.35,5.39,"2,105,919"
2020-05-06,5.4,5.4,4.9,4.93,"3,369,640"
2020-05-07,4.83,4.94,4.65,4.87,"2,501,195"
2020-05-08,4.88,5.19,4.82,4.98,"2,353,661"
2020-05-11,4.92,4.96,4.75,4.76,"1,699,158"
2020-05-12,4.78,4.92,4.46,4.54,"2,639,157"
2020-05-13,4.54,4.54,4.07,4.21,"2,882,877"
2020-05-14,4.15,4.19,3.96,4.13,"2,004,868"
2020-05-15,4.05,4.45,4.04,4.22,"1,940,704"
2020-05-18,4.4,4.63,4.36,4.58,"2,371,694"
2020-05-19,4.58,4.75,4.37,4.44,"1,840,732"
2020-05-20,4.5,4.69,4.34,4.43,"2,543,609"
2020-05-21,4.45,4.65,4.4,4.44,"1,971,906"
2020-05-22,4.46,4.49,4.13,4.18,"2,379,851"
2020-05-26,4.34,4.61,4.33,4.42,"3,545,926"
2020-05-27,4.57,4.71,4.36,4.69,"3,146,603"
2020-05-28,4.75,4.76,4.3,4.33,"2,184,367"
2020-05-29,4.33,4.42,4.05,4.06,"3,973,540"
2020-06-01,4.12,4.36,4.02,4.13,"2,618,424"
2020-06-02,4.27,4.31,4.06,4.18,"2,369,780"
2020-06-03,4.24,4.52,4.2,4.44,"3,037,424"
2020-06-04,4.44,4.72,4.37,4.47,"3,514,299"
